op,src_dtype,dst_dtype,shape_path,vf_impl_kind,tail_kind,op_params,formula_kind,param0,param1,param2,param3
TRSQRT,fp16,none,1D,POST_UPDATE,tail,,linear,8.1065574,81.098361,0,0
TRSQRT,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,8.011194,0.05721393,80.711443,0
TRSQRT,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,8.011194,0.05721393,80.711443,0
TRSQRT,fp16,none,2D,POST_UPDATE,full,,nested_loop,8.011194,0.05721393,80.711443,0
TRSQRT,fp16,none,2D,POST_UPDATE,tail,,nested_loop,8.011194,0.05721393,80.711443,0
TRSQRT,fp32,none,1D,NO_POST_UPDATE,full,,linear,4.0294627,75.570191,0,0
TRSQRT,fp32,none,1D,NO_POST_UPDATE,tail,,linear,4.0294627,75.570191,0,0
TRSQRT,fp32,none,1D,POST_UPDATE,full,,linear,4.0294627,75.570191,0,0
TRSQRT,fp32,none,1D,POST_UPDATE,tail,,linear,4.0294627,75.570191,0,0
TRSQRT,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,4,0.032648126,76.464329,0
TRSQRT,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,4,0.032648126,76.464329,0
TRSQRT,fp32,none,2D,POST_UPDATE,full,,nested_loop,4,0.032648126,76.464329,0
TRSQRT,fp32,none,2D,POST_UPDATE,tail,,nested_loop,4,0.032648126,76.464329,0
TSEL,fp16,none,1D,NO_POST_UPDATE,full,TSel_b16_8,linear,2.0983607,52.47541,0,0
TSEL,fp16,none,1D,NO_POST_UPDATE,tail,TSel_b16_8,linear,2.0983607,52.47541,0,0
TSEL,fp16,none,2D,DEFAULT,full,TSel_b16_8,nested_loop,2.4617368,1.427318,48.616915,0
TSEL,fp16,none,2D,DEFAULT,tail,TSel_b16_8,nested_loop,2.4617368,1.427318,48.616915,0
TSEL,int8,none,1D,NO_POST_UPDATE,full,TSel_b16_8,linear,2.0983607,52.47541,0,0
TSEL,int8,none,1D,NO_POST_UPDATE,tail,TSel_b16_8,linear,2.0983607,52.47541,0,0
TSEL,int8,none,2D,DEFAULT,full,TSel_b16_8,nested_loop,2.4617368,1.427318,48.616915,0
TSEL,int8,none,2D,DEFAULT,tail,TSel_b16_8,nested_loop,2.4617368,1.427318,48.616915,0
TSEL,fp32,none,1D,NO_POST_UPDATE,full,TSel_b32_even,linear,1.9336735,58.846939,0,0
TSEL,fp32,none,1D,NO_POST_UPDATE,full,TSel_b32_odd,linear,3.9142857,63.885714,0,0
TSEL,fp32,none,1D,NO_POST_UPDATE,tail,TSel_b32_even,linear,1.9336735,58.846939,0,0
TSEL,fp32,none,1D,NO_POST_UPDATE,tail,TSel_b32_odd,linear,3.9142857,63.885714,0,0
TSEL,fp32,none,2D,DEFAULT,full,TSel_b32,nested_loop,3.0869132,36.109522,22.512394,0
TSEL,fp32,none,2D,DEFAULT,tail,TSel_b32,nested_loop,3.0869132,36.109522,22.512394,0
TSQRT,fp16,none,1D,NO_POST_UPDATE,full,,linear,3.7622951,66.934426,0,0
TSQRT,fp16,none,1D,NO_POST_UPDATE,tail,,linear,3.7622951,66.934426,0,0
TSQRT,fp16,none,1D,POST_UPDATE,full,,linear,3.7622951,66.934426,0,0
TSQRT,fp16,none,1D,POST_UPDATE,tail,,linear,3.7622951,66.934426,0,0
TSQRT,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,65.159204,0
TSQRT,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,65.159204,0
TSQRT,fp16,none,2D,POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,65.159204,0
TSQRT,fp16,none,2D,POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,65.159204,0
TSQRT,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.9670711,63.656846,0,0
TSQRT,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.9670711,63.656846,0,0
TSQRT,fp32,none,1D,POST_UPDATE,full,,linear,1.9670711,63.656846,0,0
TSQRT,fp32,none,1D,POST_UPDATE,tail,,linear,1.9670711,63.656846,0,0
TSQRT,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8548854,2.5442386,61.598247,0
